Nama Negara,Total Terinfeksi,Total Kematian,Total Sembuh,Kematian %,Sembuh %
USA,47916190,783565,37918301,1.6,79.1
India,34447536,463655,33849785,1.3,98.3
Brazil,21957967,611318,21151342,2.8,96.3
UK,9561099,142898,7825200,1.5,81.8
Russia,9109094,256597,7812557,2.8,85.8
Turki,8408166,73531,7888959,0.9,93.8
Prancis,7287645,118154,7009026,1.6,96.2
Iran,6045212,128272,5708253,2.1,94.4
Argentina,5305742,116232,5172193,2.2,97.5
Spanyol,5047156,87673,4889801,1.7,96.9















